127.0.0.1 - - [17/Dec/2020:16:40:01 +0630] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/Dec/2020:16:40:11 +0630] "GET /05-jsp-java-bean/ HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [17/Dec/2020:16:40:13 +0630] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [17/Dec/2020:16:40:59 +0630] "GET /05-jsp-java-bean/create-product.jsp?name=XZ&categoryName=Bracelet&price=1500 HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [17/Dec/2020:16:41:24 +0630] "GET /05-jsp-java-bean/ HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [17/Dec/2020:16:41:33 +0630] "POST /05-jsp-java-bean/create-product.jsp HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Dec/2020:16:50:09 +0630] "POST /05-jsp-java-bean/create-product.jsp HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Dec/2020:16:50:54 +0630] "POST /05-jsp-java-bean/create-product.jsp HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Dec/2020:17:12:07 +0630] "POST /05-jsp-java-bean/create-product.jsp HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [17/Dec/2020:17:12:36 +0630] "POST /05-jsp-java-bean/create-product.jsp HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [17/Dec/2020:17:12:41 +0630] "POST /05-jsp-java-bean/create-product.jsp HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [17/Dec/2020:17:12:57 +0630] "GET /05-jsp-java-bean/ HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [17/Dec/2020:17:13:06 +0630] "POST /05-jsp-java-bean/create-product.jsp HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [17/Dec/2020:17:19:12 +0630] "GET /05-jsp-java-bean/ HTTP/1.1" 200 589
0:0:0:0:0:0:0:1 - - [17/Dec/2020:17:19:22 +0630] "GET /05-jsp-java-bean/ HTTP/1.1" 200 589
0:0:0:0:0:0:0:1 - - [17/Dec/2020:17:19:30 +0630] "GET /05-jsp-java-bean/ HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [17/Dec/2020:17:19:33 +0630] "GET /05-jsp-java-bean/ HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [17/Dec/2020:17:19:51 +0630] "GET /05-jsp-java-bean/ HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [17/Dec/2020:17:20:46 +0630] "POST /05-jsp-java-bean/create-product.jsp HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [17/Dec/2020:17:21:45 +0630] "GET /05-jsp-java-bean/ HTTP/1.1" 200 682
0:0:0:0:0:0:0:1 - - [17/Dec/2020:17:21:51 +0630] "GET /05-jsp-java-bean/ HTTP/1.1" 200 682
0:0:0:0:0:0:0:1 - - [17/Dec/2020:17:21:55 +0630] "GET /05-jsp-java-bean/ HTTP/1.1" 200 682
